"OPTZ_PLN_ID","PROJ_NO","BLK_NO","WSTG_CODE","OPTZ_JIG_CODE","AVAL_INDC","ROTATION_STATUS","MIN_SIZE_GAP","FINAL_STATUS"
"2539_20250918_3W_C03_NPS_3BAY_04","5511","109","G9G9","J08AJ08BJ08CJ08DJ10AJ10BJ10CJ10D","1","1","24.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2579","193","R1G9","J04CJ04DJ41AJ41BJ41CJ41DJ03CJ42BJ42C","1","1","40.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2594","113","G9G9","J04AJ04DJ03AJ03BJ03CJ03D","1","2","3.5","1"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","193","G9G9","J09D","0","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","193","G9G9","J09B","0","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","193","G9G9","J09C","0","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2579","132","G9G9","J06CJ06DJ08AJ08BJ08CJ08DJ05CJ05DJ07AJ07BJ07CJ07D","1","1","38.5","1"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","193","G9G9","J09A","0","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2585","824","R1G9","J02AJ02DJ01AJ01BJ01CJ01D","1","1","18.5","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","193","G9G9","J07D","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2579","122","G9G9","J02AJ02DJ01AJ01BJ01CJ01D","1","1","16.5","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2579","639","H2G9","J10AJ10DJ09AJ09BJ09CJ09D","1","1","29.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","193","G9G9","J08C","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","193","G9G9","J08D","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2575","183","G9G9","J06AJ06DJ05AJ05BJ05CJ05D","1","1","21.5","1"
